DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;P6016;P1894;P6020;P6040;P6051;P5502;P6071;P6071S1;P6074;P767;P6076;P6076S1;P6076S2;P6077;P6096;P6081;P6081S1;P6087;P6083;P6083S1;P6088;P6080;P5667;P1895;P1896;P1897;P1898;P1899;P1901;P1902;P1903;P1904;P1905;LLAVEHOG;FEX_C;N_HIJOS;N_NIETOS;P1910;P1911;P1912;P1710;P1710S1;P1710S2;P1710S3;P1710S4;P1710S5;P1710S6;P1710S7;P1710S8;P1710S9;P1084;P765;P765S1;P765S2;P765S3;P765S4;P765S5;P765S6;P765S7;P765S8;P1085;P1085S1;P1085S2;P1085S3;P1085S4;P1085S5;P1085S6;P1085S7;P1085S8;P1083;P1083S1;P1083S2;P1083S3;P1083S4;P1083S5;P1083S6;P1083S7;P1083S8;P1083S9;P1083S10;P1083S11;P1082;P1082S1;P1082S2;P5504;P5505;P5505S1;P5505S2;P769;P1080;P1080S1;P1080S2;P1080S3;P1080S4;P1080S5;P1080S6;P804;P805;P805S1;P805S2;P805S3;P805S4;P805S5
6015275;4;1;4;4;1;2;6;4;;;;1;;;;;;;2;;5;1;2;;6;;;;;;;;;;;;60152751;3216.098963;0;0;5;5;5;;;;;;;;;;;1;;;;;1;;;;;;1;;;;;;;;;1;1;;;;1;;;;;;2;;;1;;;1;1;;1;;1;1;;;2;;1;;;;
6015276;1;1;1;1;3;2;45;1;5;;;2;20;2;15;15001;1;4;2;;4;2;;3;6;;9;9;9;9;9;9;9;9;9;9;60152761;2708.839512;1;0;2;5;5;;1;1;1;1;1;1;1;1;2;2;;1;;;1;;;;;;1;1;;;;;;;;1;1;1;;;;;;;;;1;2;1;;;;;2;;1;1;1;1;;;1;;1;;;;
6015276;2;1;2;2;1;2;3;3;;;;1;;;;;;;2;;7;1;1;;6;;;;;;;;;;;;60152761;2708.839512;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
6015282;1;1;1;1;3;2;70;1;3;;;1;;;;;;;3;;10;3;;10;6;;8;5;4;0;10;10;10;10;5;10;60152821;2595.527647;2;2;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;;;;;1;;1;;;;;;1;;;;1;;
6015282;2;1;2;2;3;2;46;3;5;;;1;;;;;;;3;;10;1;1;;6;;5;5;5;0;8;2;0;10;10;9;60152821;2595.527647;0;0;1;1;1;;1;1;1;1;1;1;1;1;2;1;;1;1;1;;;;;;;1;1;1;;;;;;;1;1;1;;;;;;;;;1;2;1;;;;;1;;1;1;1;;;;1;;;;1;;
6015282;3;1;3;3;3;1;45;3;6;2;;1;;;;;;;3;;10;1;1;;6;;5;3;6;0;1;4;3;10;9;10;60152821;2595.527647;0;0;5;5;5;;;;;;;;;;;1;;;;;1;;;;;;1;1;;;;;;;;1;1;1;;;;;;;;;1;2;1;;;;;1;;1;;;1;;;5;;;;;;
6015282;4;1;4;2;2;1;13;4;5;;;1;;;;;;;1;3;;2;;7;6;;;;;;;;;;;;60152821;2595.527647;0;0;1;5;5;;2;2;2;2;2;2;2;2;2;1;;1;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;1;2;1;;;;;1;;1;;;;;;5;;;;;;
6015282;5;1;5;3;2;1;9;4;;;;1;;;;;;;1;3;;2;;7;6;;;;;;;;;;;;60152821;2595.527647;0;0;2;5;5;;2;2;2;2;2;2;2;2;2;2;;1;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;2;;;1;;;1;1;;1;;;;;;5;;;;;;
6015284;1;1;1;1;3;2;44;1;5;;;2;18;2;25;25489;1;8;3;;2;2;;2;6;;5;5;7;2;9;6;5;2;2;9;60152841;2105.541787;2;0;5;1;5;;1;1;1;1;1;1;1;1;2;1;;;1;;1;;;;;;1;1;;;;;;;;1;1;1;;;1;;;;;;1;1;1;;;;;1;;1;1;1;1;;;5;;;;;;
6015284;2;1;2;2;3;2;23;3;5;;;2;18;2;73;73001;1;9;2;;4;1;1;;6;;5;5;7;2;4;4;4;4;2;5;60152841;2105.541787;0;0;5;1;5;;1;1;1;1;1;1;1;1;2;1;;;1;;1;;;;;;1;1;;;;;;;;1;1;1;1;;;;;;;;1;2;1;;;;;1;;1;1;1;1;;;5;;;;;;
