DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;P6016;P1894;P6020;P6040;P6051;P5502;P6071;P6071S1;P6074;P767;P6076;P6076S1;P6076S2;P6077;P6096;P6081;P6081S1;P6087;P6083;P6083S1;P6088;P6080;P5667;P1895;P1896;P1897;P1898;P1899;P1901;P1902;P1903;P1904;P1905;LLAVEHOG;FEX_C;N_HIJOS;N_NIETOS;P1910;P1911;P1912;P1710;P1710S1;P1710S2;P1710S3;P1710S4;P1710S5;P1710S6;P1710S7;P1710S8;P1710S9;P1084;P765;P765S1;P765S2;P765S3;P765S4;P765S5;P765S6;P765S7;P765S8;P1085;P1085S1;P1085S2;P1085S3;P1085S4;P1085S5;P1085S6;P1085S7;P1085S8;P1083;P1083S1;P1083S2;P1083S3;P1083S4;P1083S5;P1083S6;P1083S7;P1083S8;P1083S9;P1083S10;P1083S11;P1082;P1082S1;P1082S2;P5504;P5505;P5505S1;P5505S2;P769;P1080;P1080S1;P1080S2;P1080S3;P1080S4;P1080S5;P1080S6;P804;P805;P805S1;P805S2;P805S3;P805S4;P805S5
6009686;3;1;3;3;3;2;53;7;5;;;1;;;;;;;3;;9;3;;1;6;;8;9;7;8;8;8;7;2;1;9;60096861;31.97899755;0;0;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;;;;;2;;1;;;;;;2;;1;;;;
6009688;1;1;1;1;3;2;61;1;3;;;2;13;2;17;17541;2;3;3;;1;3;;1;6;;8;8;8;6;7;8;8;4;3;9;60096881;32.67976425;0;1;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;;;;;2;;1;;;;;;1;;1;;;;
6009688;2;1;2;2;2;1;15;4;5;;;2;13;2;17;17541;2;3;3;;1;2;;1;6;;8;6;9;6;6;8;9;2;2;8;60096881;32.67976425;0;0;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;;;;;;;;;;;2;;1;;;;
6009699;1;1;1;1;3;2;80;1;3;;;1;;;;;;;3;;1;3;;1;6;;8;3;8;7;7;7;6;7;3;9;60096991;31.97899755;2;0;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;;;;;3;;1;;;;;;5;;;;;;
6009699;2;1;2;2;3;2;61;3;4;;;1;;;;;;;3;;1;1;1;;6;;7;1;5;7;4;9;8;2;3;9;60096991;31.97899755;0;0;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;;;;;;;;;;;5;;;;;;
6009699;3;1;3;3;3;1;60;3;5;;;1;;;;;;;3;;1;1;1;;6;;8;6;8;6;8;8;9;3;3;8;60096991;31.97899755;0;0;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;;;;;;;;;;;5;;;;;;
6009722;1;1;1;1;3;2;37;1;3;;;2;0;2;5;5001;1;8;2;;1;2;;10;6;;5;7;10;10;8;3;3;8;8;7;60097221;561.5574464;1;0;5;5;5;;;;;;;;;;;3;;;;;1;;;;;;1;;;;;;;;;;;1;;;;;;;;;1;2;1;;;;;1;;1;;;1;;;3;;1;;;;
6009722;2;1;2;1;2;2;16;3;5;;;2;0;2;5;5001;1;9;3;;1;1;1;;6;;8;6;10;10;7;4;3;8;8;8;60097221;561.5574464;0;0;5;3;5;;2;1;1;2;2;1;2;2;2;2;;;;;1;;;;;;;;;1;;;;;;;1;1;;;;;;;;;1;2;1;;;;;1;;1;;;1;;;1;;1;;;;
6009723;1;1;1;1;3;2;32;1;5;;;1;;;;;;;3;;10;2;;1;6;;5;5;7;9;3;5;0;8;0;10;60097231;766.5236666;2;0;5;5;5;;;;;;;;;;;1;;;;;1;;;;;;;1;;;;;;;;1;;1;;;1;;;;;;1;2;1;;;;;1;;1;;;1;;;5;;;;;;
6009723;2;1;2;1;2;2;16;3;5;;;1;;;;;;;2;;2;1;1;;6;;10;10;10;10;6;10;10;5;5;8;60097231;766.5236666;0;0;2;5;5;;1;1;1;2;1;1;2;1;2;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;1;;;1;3;;1;;;;;;5;;;;;;
6009723;3;1;3;1;2;2;9;3;;;;1;;;;;;;2;;10;1;1;;6;;;;;;;;;;;;60097231;766.5236666;0;0;3;5;2;;2;2;2;2;2;2;2;2;2;2;;;;1;;;;;;;;;;1;;;;;;;;1;;;1;;1;;;;2;;;1;;;1;2;;1;;;;;;5;;;;;;
6009768;1;1;1;1;3;2;67;1;3;;;1;;;;;;;3;;8;3;;4;6;;10;10;10;10;10;10;10;0;0;10;60097681;2059.193436;1;0;5;1;5;;1;1;1;1;2;2;2;2;2;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;1;;;;;1;;1;;;;;;1;;1;;;;
6009768;2;1;2;2;3;1;34;3;5;;;1;;;;;;;2;;10;1;1;;6;;10;10;10;10;10;10;10;0;10;10;60097681;2059.193436;0;0;5;2;5;;1;1;1;1;1;1;1;1;1;1;;;1;;;;;;;;1;1;;;;;;;;;1;1;;;;;;;;;1;2;1;;;;;1;;1;1;;;;;1;;1;;;;
6009792;1;1;1;1;3;2;64;1;3;;;1;;;;;;;3;;3;3;;4;6;;7;8;7;7;7;8;7;3;3;7;60097921;1726.206045;1;0;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;;;;;1;;1;1;;;;;1;;1;1;;;
6009792;2;1;2;2;3;2;47;3;5;;;1;;;;;;;3;;3;1;1;;6;;4;8;7;8;8;8;7;3;5;8;60097921;1726.206045;0;0;1;5;5;;1;1;1;1;2;2;2;2;2;1;;;;;1;;;;;;;1;;;;;;;;1;1;1;;;;;;;;;1;2;1;;;;;1;;1;1;;1;;;1;;1;1;;;
6009811;1;1;1;1;3;2;39;1;5;;;1;;;;;;;3;;1;3;;10;6;;0;0;9;1;3;5;9;10;9;10;60098111;3009.20368;5;0;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;;;;;;;;;;;5;;;;;;
6009811;2;1;2;2;3;1;23;3;5;;;1;;;;;;;2;;10;1;1;;6;;6;0;5;0;0;6;8;8;8;10;60098111;3009.20368;0;0;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;;;;;;;;;;;5;;;;;;
6009811;3;1;3;3;2;2;18;3;5;;;1;;;;;;;2;;10;1;1;;6;;10;9;10;5;8;7;8;5;0;9;60098111;3009.20368;0;0;3;5;5;;1;1;2;2;2;2;2;2;2;3;;1;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;2;;;2;;;;;;;;;;;;1;;1;;;;
6009811;4;1;4;4;2;1;17;3;5;;;1;;;;;;;2;;10;1;1;;6;;7;8;8;5;6;8;8;2;3;10;60098111;3009.20368;0;0;2;5;5;;1;1;2;2;2;2;2;2;2;2;;1;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;2;;;2;;;;;;;;;;;;2;;1;;;;
6009811;5;1;5;5;2;1;16;3;5;;;1;;;;;;;2;;10;1;1;;6;;10;7;9;10;10;10;10;0;0;10;60098111;3009.20368;0;0;3;5;5;;2;2;1;2;2;2;2;2;2;3;;1;;;;;;;;;;;;;1;;;;;1;1;1;;;;;;;;;2;;;2;;;;;;;;;;;;1;;1;;;;
6009811;6;1;6;6;2;1;12;3;5;;;1;;;;;;;2;;10;1;1;;6;;;;;;;;;;;;60098111;3009.20368;0;0;3;5;5;;1;1;2;2;2;2;2;2;2;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;;;;;;;;;;;1;;1;;;;
6009812;1;1;1;1;3;2;34;1;5;;;1;;;;;;;3;;1;2;;2;6;;8;6;5;8;8;9;8;2;0;8;60098121;2850.488246;2;0;5;5;5;;;;;;;;;;;2;;;;;1;;;;;;1;1;;;;;;;;1;1;1;;;;;;;;;1;2;1;;;;;1;;1;;1;1;;;2;;1;;;;
6009812;2;1;2;2;2;1;14;3;5;;;1;;;;;;;2;;1;1;1;;6;;;;;;;;;;;;60098121;2850.488246;0;0;5;5;5;;;;;;;;;;;1;;;;;1;;;;;;1;;1;;;;;;;1;1;1;;;;;;;;;1;2;1;;;;;1;;1;;1;1;;;5;;;;;;
6009812;3;1;3;1;1;2;6;3;;;;1;;;;;;;2;;1;1;1;;6;;;;;;;;;;;;60098121;2850.488246;0;0;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;;;;;;;;;;;5;;;;;;
6009812;4;1;4;4;3;2;20;7;5;;;1;;;;;;;2;;1;2;;2;6;;9;7;8;7;7;8;7;2;0;9;60098121;2850.488246;0;0;1;1;5;;1;1;1;1;1;1;1;1;1;1;;;1;;1;;;;;;;;1;;;;;;;1;1;1;1;;1;;;;;;1;2;1;;;;;1;;1;;1;1;;;5;;;;;;
6009820;1;1;1;1;3;2;83;1;3;;;1;;;;;;;3;;1;3;;1;6;;8;9;8;8;8;8;8;7;0;10;60098201;2058.194491;2;0;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;;;;;1;;1;;;;;;1;;1;;;;
6009820;2;1;2;2;3;1;53;3;5;;;1;;;;;;;3;;4;1;1;;6;;9;7;9;8;7;8;8;6;0;9;60098201;2058.194491;0;0;5;5;5;;;;;;;;;;;1;;;;;1;;;;;;1;;;;;;;;;1;1;1;;;;;;;;;1;2;1;;;;;1;;1;1;1;1;;;5;;;;;;
6009820;3;1;3;3;3;1;50;3;5;;;1;;;;;;;3;;4;1;1;;6;;8;7;9;8;8;8;8;3;0;10;60098201;2058.194491;0;0;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;1;;;;;1;;1;1;;;;;5;;;;;;
6009842;1;1;1;1;3;2;67;1;3;;;1;;;;;;;3;;1;3;;2;6;;10;8;9;5;1;6;6;1;1;8;60098421;2058.194491;2;0;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;;;;;1;;1;;;;;;2;;1;;;;
6009842;2;1;2;2;3;1;45;3;5;;;1;;;;;;;3;;3;1;1;;6;;8;9;9;5;0;10;9;0;0;10;60098421;2058.194491;0;0;1;5;5;;2;2;1;2;2;2;2;2;2;1;;1;;;1;;;;;;1;;;;;;;;;;1;1;;;;;;;;1;1;2;1;;;;;1;;1;1;1;1;;;2;;1;1;;;
6009842;3;1;3;3;3;1;29;3;5;;;1;;;;;;;3;;2;1;1;;6;;9;9;9;4;0;8;9;0;0;8;60098421;2058.194491;0;0;1;5;5;;2;2;1;2;2;2;2;2;2;1;;1;;;1;;;;;;1;;;;;;;;;;1;1;;;;;;;;1;1;2;1;;;;;1;;1;1;1;1;;;1;;1;;;;
6009844;1;1;1;1;3;2;45;1;3;;;1;;;;;;;2;;2;3;;2;6;;8;8;5;8;8;6;8;8;0;10;60098441;2549.267615;1;1;5;5;5;;;;;;;;;;;1;;;;;1;;;;;;1;;;;;;;;;1;1;1;;;;;;;;;1;2;1;;;;;1;;1;;1;1;;;2;;1;;;;
6009844;2;1;2;2;3;2;22;3;5;;;1;;;;;;;3;;3;1;1;;6;;8;9;9;9;7;6;9;0;0;10;60098441;2549.267615;0;0;5;5;1;;1;1;1;1;2;2;2;2;2;1;;;;1;1;;;;;;1;;;;;;;;;1;1;1;;;1;;;;;;1;2;1;;;;;1;;1;;1;1;;;2;;1;;;;
6009844;3;1;3;2;1;2;3;4;;;;1;;;;;;;2;;4;1;2;;6;;;;;;;;;;;;60098441;2549.267615;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
6009852;1;1;1;1;3;2;55;1;5;;;2;10;2;73;73283;1;1;2;;1;2;;1;6;;7;9;8;3;0;8;1;0;0;7;60098521;2735.951172;3;2;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;;;;;1;;1;;;;;;2;;1;1;;;
6009852;2;1;2;2;3;2;20;3;5;;;1;;;;;;;2;;1;1;1;;6;;8;7;9;3;8;8;9;1;2;8;60098521;2735.951172;0;0;1;5;5;;2;2;1;2;2;2;2;2;2;1;;1;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;1;1;1;2;;;;;1;;1;1;;;;;2;;1;;;;
6009852;3;1;3;3;1;2;3;4;;;;1;;;;;;;2;;4;1;2;;6;;;;;;;;;;;;60098521;2735.951172;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
6009852;4;1;4;4;2;2;14;3;5;;;1;;;;;;;2;;2;1;1;;6;;;;;;;;;;;;60098521;2735.951172;0;0;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;;;;;;;;;;;2;;1;;;;
6009852;5;1;5;5;3;2;22;4;5;;;1;;;;;;;2;;2;3;;2;6;;8;7;8;3;7;8;6;3;2;7;60098521;2735.951172;0;0;1;5;5;;2;2;1;2;2;2;2;2;2;1;;1;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;1;1;1;2;;;;;1;;1;1;;;;;2;;1;1;;;
6009852;6;1;6;6;1;1;2;9;;;;1;;;;;;;2;;3;1;5;;6;;;;;;;;;;;;60098521;2735.951172;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
6009852;7;1;7;7;3;2;19;3;5;;;1;;;;;;;2;;2;1;1;;6;;8;9;9;3;0;3;5;4;3;5;60098521;2735.951172;0;0;5;5;5;;;;;;;;;;;2;;;;;1;;;;;;1;;;;;;;;;;1;1;;;;;;;;1;1;2;1;;;;;2;;1;1;1;1;;;2;;1;;;;
6009864;1;1;1;1;3;2;58;1;3;;;1;;;;;;;3;;9;2;;9;6;;8;8;8;8;8;7;7;7;6;7;60098641;1566.634148;1;1;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;;;;;;;;;;;2;;1;1;;;
6009864;2;1;2;2;3;2;35;3;5;;;1;;;;;;;3;;9;1;1;;6;;8;7;6;7;7;7;7;3;3;8;60098641;1566.634148;0;0;1;1;1;;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;;;;;;1;1;;;;;;;;1;1;1;1;1;1;;;;;;1;2;1;;;;;1;;1;1;1;1;;;2;;1;;;;
6009864;3;1;3;3;2;2;17;4;5;;;1;;;;;;;2;;8;1;2;;6;;8;7;8;7;7;8;7;3;3;9;60098641;1566.634148;0;0;1;5;1;;1;1;1;1;1;1;1;2;2;1;;1;;1;1;;;;;;1;;1;;;;;;;1;1;1;;;1;;;;;;1;2;1;;;;;1;;1;;1;1;;;1;;1;;;;
6009878;1;1;1;1;3;2;45;1;5;;;2;9;2;5;5001;1;1;3;;4;1;2;;6;;5;5;9;10;8;7;7;3;5;10;60098781;1726.206045;1;0;1;5;5;;1;1;1;1;1;1;1;1;2;1;;1;;;1;;;;;;1;;;;;;;;;1;1;1;;;;;;;;;1;2;1;;;;;1;;1;1;1;1;;;5;;;;;;
6009878;2;1;2;2;3;2;87;3;3;;;2;9;2;5;5001;1;9;3;;2;3;;2;6;;8;7;6;8;6;8;7;6;9;6;60098781;1726.206045;0;0;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;;;;;2;;1;;;;;;2;;1;;;;
6009880;1;1;1;1;3;2;64;1;3;;;2;48;2;15;15516;2;8;3;;2;3;;10;6;;3;5;8;9;4;9;9;2;1;8;60098801;2467.722511;2;1;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;1;;;1;2;;1;;;;;;5;;;;;;
6009880;2;1;2;2;3;1;33;3;5;;;2;15;2;25;25899;1;8;3;;2;1;1;;6;;9;8;9;10;8;10;10;8;0;9;60098801;2467.722511;0;0;3;5;5;;1;1;1;1;1;2;1;2;2;1;;1;;;1;;1;;;;1;1;;;;1;;;;1;1;1;1;1;1;1;1;1;1;;1;2;1;;;;;1;;1;1;1;1;;1;5;;;;;;
6009880;3;1;3;3;3;2;21;3;2;2;;1;;;;;;;3;;5;1;1;;6;;10;6;9;9;6;8;5;5;3;9;60098801;2467.722511;0;0;4;5;5;;1;1;1;1;1;1;1;1;1;1;;;;;1;;;;;;1;1;;;;1;1;;;1;1;1;;;1;;;1;1;;1;2;1;;;;;1;;1;1;1;1;;1;2;;1;;;;
6009880;4;1;4;3;1;1;2;4;;;;1;;;;;;;2;;9;1;3;;6;;;;;;;;;;;;60098801;2467.722511;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
6009880;5;1;5;5;3;1;25;14;5;;;2;3;2;68;68077;1;4;2;;8;2;;8;6;;10;5;8;4;8;8;7;5;4;8;60098801;2467.722511;0;0;5;1;5;;1;1;1;1;1;1;1;1;1;1;;;1;;1;;;;;;1;1;1;;;1;1;;;1;1;1;;1;1;;1;;1;;1;2;1;;;;;1;;1;1;1;1;;1;5;;;;;;
6009883;1;1;1;1;3;2;65;1;3;;;2;40;2;41;41551;1;9;3;;10;3;;2;6;;10;9;9;0;10;10;10;0;0;10;60098831;2058.194491;1;0;2;5;5;;2;2;2;2;2;2;2;2;2;3;;1;;;1;;;;;;1;;;;;;;;;;;1;;;;;;;1;;1;2;1;;;;;1;;1;;1;1;;;2;;1;;;;
6009883;2;1;2;2;3;1;27;3;5;;;1;;;;;;;2;;4;1;1;;6;;10;10;10;9;2;10;10;0;0;10;60098831;2058.194491;0;0;1;5;5;;1;1;1;1;1;1;1;1;2;1;;;;;1;;;;;;1;;;;;;;;;1;1;1;1;;;;;;;;1;2;1;;;;;1;;1;1;1;1;;;5;;;;;;
6009883;3;1;3;3;3;1;53;9;4;;;1;;;;;;;3;;10;2;;1;6;;10;7;7;6;10;8;8;6;0;8;60098831;2058.194491;0;0;5;5;5;;;;;;;;;;;1;;;;;1;;;;;;1;1;;;;;;;;1;1;1;;;;;;;;;1;2;1;;;;;1;;1;1;1;1;;;5;;;;;;
6009904;1;1;1;1;3;2;77;1;3;;;1;;;;;;;3;;10;3;;10;6;;10;10;8;10;8;10;10;0;0;10;60099041;1954.466259;0;1;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;;;;;2;;1;;;;;;2;;1;1;1;;
6009904;2;1;2;2;3;1;20;4;5;;;2;2;2;11;11001;1;4;2;;1;2;;1;6;;10;10;10;10;10;10;10;0;0;10;60099041;1954.466259;0;0;2;5;5;;1;1;1;1;1;1;1;1;2;2;;1;;;;;;;;;;;;;1;;;;;;1;1;;;1;;;1;1;;2;;;1;;1;1;2;;1;;1;;;;2;;1;1;1;1;
6009942;1;1;1;1;3;2;27;1;5;;;1;;;;;;;2;;8;2;;4;6;;8;6;8;5;8;10;10;0;0;10;60099421;276.3193804;1;0;1;1;5;;1;1;1;1;1;1;1;1;1;1;;1;1;;1;1;1;1;;;1;1;;;;;;;;1;1;1;1;;1;;1;1;1;;1;2;1;;;;;1;;1;;1;1;;;5;;;;;;
6009942;2;1;2;1;1;1;6;3;;;;1;;;;;;;2;;8;1;1;;6;;;;;;;;;;;;60099421;276.3193804;0;0;2;2;5;;2;2;2;2;2;2;2;2;2;3;;1;1;;1;;;;;;1;;;;;;;;;;;;;;1;;1;;;;2;;;1;;;1;3;;1;;;1;;;5;;;;;;
6009953;1;1;1;1;3;2;37;1;5;;;2;2;2;85;85250;1;8;2;;2;2;;4;6;;10;7;7;8;9;10;8;7;0;10;60099531;276.3193804;1;0;1;5;5;;1;1;1;1;1;1;1;1;2;1;;1;;;;;;;;;1;;;1;;;;;;1;;;;;1;;;;;;1;1;2;;;;;1;;1;;1;;;;5;;;;;;
6009953;2;1;2;1;2;1;9;3;;;;2;2;2;85;85250;1;9;2;;8;1;1;;6;;;;;;;;;;;;60099531;276.3193804;0;0;2;5;5;;1;1;1;2;2;2;2;2;2;1;;1;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;2;;;1;;;1;2;;1;;;;;1;5;;;;;;
6009955;1;1;1;1;3;2;91;1;3;;;1;;;;;;;3;;1;3;;1;6;;10;7;0;10;10;10;10;5;8;4;60099551;259.2606698;1;1;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;;;;;;;;;;;2;;1;1;1;;
6009955;2;1;2;2;3;2;50;3;5;;;1;;;;;;;3;;2;1;1;;6;;10;9;0;10;1;10;10;3;3;10;60099551;259.2606698;0;0;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;;;;;1;;1;;;;;;1;;1;1;1;;
6009955;3;1;3;3;2;2;17;4;5;;;1;;;;;;;2;;8;1;2;;6;;10;4;9;9;10;10;10;8;5;10;60099551;259.2606698;0;0;5;2;5;;1;1;1;1;1;1;1;1;2;2;;;1;;1;;;;;;1;;1;1;;;;;;;1;1;;;1;;1;1;1;;1;2;1;;;;;1;;1;;1;1;;;5;;;;;;
6009965;1;1;1;1;3;2;42;1;5;;;2;4;2;11;11001;1;1;3;;1;2;;9;6;;9;2;6;8;1;6;6;6;6;9;60099651;275.6023732;3;0;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;;;;;1;;1;;;;;;1;;1;;;;
6009965;2;1;2;2;3;1;18;3;5;;;1;;;;;;;2;;10;1;1;;6;;8;9;9;9;0;7;8;2;9;8;60099651;275.6023732;0;0;5;1;5;;1;1;1;1;1;1;2;2;2;2;;;1;;1;;;;;;;;1;;;;;;;;1;1;;;1;;;;;;1;2;1;;;;;2;;1;;;1;;;5;;;;;;
6009965;3;1;3;3;2;1;14;3;5;;;1;;;;;;;2;;10;1;1;;6;;;;;;;;;;;;60099651;275.6023732;0;0;5;2;5;;1;1;1;2;1;1;1;2;2;2;;;1;;1;;;;;;1;;1;;;;;;;;1;1;;;1;;;;;;1;2;1;;;;;1;;1;;;1;;;5;;;;;;
6009965;4;1;4;4;2;2;11;3;5;;;1;;;;;;;2;;10;1;1;;6;;;;;;;;;;;;60099651;275.6023732;0;0;5;2;5;;1;1;2;1;2;2;2;2;2;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;1;;;1;2;;1;;;;;;5;;;;;;
6009967;1;1;1;1;3;2;49;1;5;;;1;;;;;;;3;;9;3;;9;6;;9;2;6;9;3;5;4;7;7;8;60099671;281.5276124;2;0;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;;;;;1;;1;;;;;;1;;1;1;;;
6009967;2;1;2;2;2;1;17;3;5;;;1;;;;;;;2;;10;1;1;;6;;9;9;9;9;7;8;8;2;2;8;60099671;281.5276124;0;0;5;2;5;;1;1;1;1;2;1;2;2;2;2;;;1;;1;;;;;;;;1;1;;;;;;;1;1;;;1;;;;;;1;2;1;;;;;1;;1;;;1;;;1;;1;;1;;
6009967;3;1;3;3;2;1;13;3;5;;;1;;;;;;;2;;10;1;1;;6;;;;;;;;;;;;60099671;281.5276124;0;0;5;2;5;;1;1;2;2;1;1;2;2;2;2;;;1;;1;;;;;;;;1;1;;;;;;;;1;;;1;;;;;;1;2;1;;;;;2;;1;;1;1;;;5;;;;;;
6009976;1;1;1;1;3;2;58;1;5;;;1;;;;;;;3;;2;1;3;;6;;9;8;7;8;8;8;8;3;2;8;60099761;32.99542503;1;0;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;;;;;1;;1;;;;;;1;;1;1;;;
6009976;2;1;2;2;3;1;25;3;5;;;1;;;;;;;2;;10;1;1;;6;;10;9;9;9;0;9;9;5;4;7;60099761;32.99542503;0;0;5;5;5;;;;;;;;;;;1;;;;;1;;;;;;1;;;;;;1;;;;1;1;;;1;;;;;;1;2;1;;;;;1;;1;;1;1;;;1;;1;;1;;
6009976;3;1;3;3;3;2;87;5;3;;;1;;;;;;;3;;10;3;;10;6;;7;7;3;8;3;7;7;6;6;7;60099761;32.99542503;0;0;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;;;;;;;;;;;1;;1;1;1;;
6010046;1;1;1;1;3;2;67;1;3;;;1;;;;;;;3;;1;3;;1;6;;9;6;8;8;8;8;8;2;1;8;60100461;1393.275376;2;0;5;5;5;;;;;;;;;;;1;;;;;1;;;;;;1;;;;;;;;;;1;1;;;;;;;;;1;2;1;;;;;1;;1;;1;1;;;5;;;;;;
6010046;2;1;2;2;3;2;47;3;5;;;2;2;2;50;50568;1;8;3;;1;1;1;;6;;9;8;9;8;9;8;8;1;0;8;60100461;1393.275376;0;0;2;5;5;;1;1;1;1;2;1;2;2;2;1;;1;;;1;;;;;;1;1;;;;;1;;;;1;1;;1;;;;;;;1;2;1;;;;;1;;1;1;1;1;;;5;;;;;;
6010046;3;1;3;3;3;1;35;3;4;;;1;;;;;;;3;;1;1;1;;6;;8;8;8;8;8;8;8;1;0;10;60100461;1393.275376;0;0;5;1;5;;1;1;1;1;2;1;1;1;2;1;;;1;;1;;;;;;1;1;;;;;1;;;;1;1;;;1;1;;;1;;1;2;1;;;;;1;;1;1;1;1;;;5;;;;;;
6010046;1;2;1;1;3;2;38;1;3;;;1;;;;;;;3;;1;2;;2;6;;8;7;8;8;9;9;8;2;0;10;60100462;1393.275376;2;1;1;2;5;;1;1;1;1;2;1;1;1;2;1;;1;;;1;;;;;;1;1;;;;;1;;;1;1;1;1;;1;1;;;;;1;2;1;;;;;1;;1;;1;1;;;5;;;;;;
